Compounds,delta_S,r,delta_r,mass,delta_mass,specific,delta_specific,vaporization,delta_vaporization,fusion,delta_fusion,electronegativity,delta_electronegativity,density_re,delta_density_re,modulus_re,delta_modulus_re,Tm_re,delta_Tm_re,energy,delta_energy,formation,delta_formation,enthalpy,delta_enthalpy,lambda,delta_lambda,modulus_reo,delta_modulus_reo,Tm_reo,delta_Tm_reo,density_reo,delta_density_reo,CFS,delta_CFS
Tm0.4Er0.9Y0.6Gd0.1Si2O7,9.34741,0.23505,0.28920,31.21321,50.31681,167.09091,233.61493,121.18182,130.55003,12.07909,16.43467,0.56982,0.63399,1.82006,2.66612,26.00000,32.38602,530.92727,561.34617,2.60177,2.81073,-525.26364,641.31628,-496.68182,608.00072,0.26492,0.31816,38.72727,58.62560,744.61818,811.43071,1.84209,2.52776,5.23019,8.45308
Tm0.4Er0.9Y0.6Gd0.1Si1O5,9.96271,0.27320,0.31310,39.40754,55.23720,141.00000,206.25561,121.75000,127.58634,10.33375,14.53056,0.54600,0.58953,2.21134,2.93297,23.25000,28.89223,553.27500,565.82293,2.55847,2.67401,-608.37500,693.63947,-575.93750,657.82753,0.30426,0.34331,48.62500,63.93055,809.72500,848.89277,2.20162,2.76878,4.06651,7.40282
Tm0.4Er1.0Y0.1Gd0.5Si2O7,9.30603,0.23635,0.29158,34.41075,54.61352,163.80000,233.82131,117.59091,126.50631,12.10545,16.44336,0.56927,0.63376,1.98652,2.86000,25.91818,32.39607,522.91818,553.29439,2.59833,2.80837,-529.45455,648.37527,-500.13636,613.83886,0.27082,0.33027,37.68182,56.61830,744.38182,811.11015,1.96236,2.67865,5.22025,8.45897
Tm0.4Er1.0Y0.1Gd0.5Si1O5,9.90581,0.27498,0.31578,43.80415,59.57095,136.47500,205.58267,116.81250,121.79461,10.37000,14.55147,0.54525,0.58913,2.44021,3.12587,23.13750,28.88907,542.26250,555.36419,2.55374,2.67042,-614.13750,701.53504,-580.68750,664.35353,0.31238,0.35727,47.18750,61.75042,809.40000,848.50869,2.36700,2.92372,4.05285,7.40846
Tm0.4Er1.0Y0.2Gd0.4Si2O7,9.39036,0.23600,0.29095,33.78944,53.84270,164.32727,233.82252,118.27273,127.30961,12.11818,16.43630,0.56945,0.63384,1.95535,2.82753,25.94545,32.39360,524.85455,555.25854,2.59894,2.80879,-528.61818,646.97636,-499.45455,612.69411,0.26918,0.32704,37.90909,57.06075,744.29091,810.97598,1.94055,2.65397,5.22293,8.45739
Tm0.4Er1.0Y0.2Gd0.4Si1O5,10.02176,0.27450,0.31507,42.94985,58.81192,137.20000,205.74708,117.75000,122.95842,10.38750,14.54405,0.54550,0.58927,2.39735,3.09479,23.17500,28.89150,544.92500,557.92870,2.55458,2.67106,-612.98750,699.97279,-579.75000,663.07571,0.31013,0.35357,47.50000,62.23218,809.27500,848.34665,2.33700,2.89912,4.05652,7.40695
Tm0.4Er1.0Y0.3Gd0.3Si2O7,9.41605,0.23565,0.29031,33.16813,53.04877,164.85455,233.82177,118.95455,128.10194,12.13091,16.42922,0.56964,0.63392,1.92417,2.79413,25.97273,32.39110,526.79091,557.20476,2.59955,2.80921,-527.78182,645.57265,-498.77273,611.54598,0.26755,0.32377,38.13636,57.49832,744.20000,810.84177,1.91873,2.62875,5.22560,8.45581
Tm0.4Er1.0Y0.3Gd0.3Si1O5,10.05707,0.27403,0.31435,42.09555,58.02253,137.92500,205.90721,118.68750,124.09981,10.40500,14.53660,0.54575,0.58940,2.35449,3.06241,23.21250,28.89385,547.58750,560.46093,2.55542,2.67170,-611.83750,698.40396,-578.81250,661.79327,0.30788,0.34981,47.81250,62.70770,809.15000,848.18455,2.30700,2.87379,4.06020,7.40544
Tm0.4Er1.0Y0.4Gd0.2Si2O7,9.39036,0.23531,0.28968,32.54682,52.23069,165.38182,233.81908,119.63636,128.88350,12.14364,16.42212,0.56982,0.63400,1.89300,2.75974,26.00000,32.38855,528.72727,559.13323,2.60016,2.80963,-526.94545,644.16411,-498.09091,610.39444,0.26591,0.32045,38.36364,57.93112,744.10909,810.70752,1.89691,2.60300,5.22827,8.45423
Tm0.4Er1.0Y0.4Gd0.2Si1O5,10.02176,0.27355,0.31364,41.24125,57.20152,138.65000,206.06307,119.62500,125.21939,10.42250,14.52911,0.54600,0.58954,2.31163,3.02870,23.25000,28.89612,550.25000,562.96130,2.55626,2.67234,-610.68750,696.82852,-577.87500,660.50618,0.30563,0.34598,48.12500,63.17713,809.02500,848.02239,2.27700,2.84772,4.06388,7.40393
Tm0.4Er1.0Y0.5Gd0.1Si2O7,9.30603,0.23496,0.28904,31.92551,51.38729,165.90909,233.81444,120.31818,129.65448,12.15636,16.41501,0.57000,0.63408,1.86183,2.72433,26.02727,32.38597,530.66364,561.04414,2.60077,2.81005,-526.10909,642.75070,-497.40909,609.23947,0.26427,0.31708,38.59091,58.35927,744.01818,810.57323,1.87509,2.57668,5.23095,8.45265
Tm0.4Er1.0Y0.5Gd0.1Si1O5,9.90581,0.27308,0.31292,40.38695,56.34751,139.37500,206.21467,120.56250,126.31775,10.44000,14.52158,0.54625,0.58968,2.26876,2.99361,23.28750,28.89831,552.91250,565.43024,2.55710,2.67298,-609.53750,695.24642,-576.93750,659.21441,0.30338,0.34209,48.43750,63.64060,808.90000,847.86016,2.24700,2.82090,4.06755,7.40242
Tm0.4Er1.1Y0.1Gd0.4Si2O7,9.24187,0.23591,0.29079,34.50174,54.78963,163.14545,233.99901,117.40909,126.35858,12.19545,16.41634,0.56964,0.63392,1.99711,2.87928,25.97273,32.39362,524.59091,554.94847,2.59794,2.80811,-529.46364,648.39110,-500.18182,613.91802,0.26854,0.32601,37.77273,56.78386,743.69091,810.11762,1.97355,2.69864,5.22368,8.45696
Tm0.4Er1.1Y0.1Gd0.4Si1O5,9.81758,0.27438,0.31489,43.92926,59.76170,135.57500,205.65725,116.56250,121.57811,10.49375,14.53444,0.54575,0.58941,2.45478,3.14680,23.21250,28.89775,544.56250,557.52163,2.55321,2.67003,-614.15000,701.55281,-580.75000,664.44231,0.30924,0.35241,47.31250,61.92874,808.45000,847.31266,2.38237,2.94555,4.05756,7.40655
Tm0.4Er1.1Y0.2Gd0.3Si2O7,9.30710,0.23556,0.29016,33.88043,54.02303,163.67273,234.00262,118.09091,127.16441,12.20818,16.40916,0.56982,0.63400,1.96594,2.84722,26.00000,32.39108,526.52727,556.89728,2.59855,2.80854,-528.62727,646.99225,-499.50000,612.77350,0.26690,0.32272,38.00000,57.22444,743.60000,809.98316,1.95173,2.67428,5.22635,8.45539
Tm0.4Er1.1Y0.2Gd0.3Si1O5,9.90727,0.27390,0.31417,43.07496,59.00807,136.30000,205.82676,117.50000,122.74707,10.51125,14.52677,0.54600,0.58955,2.41191,3.11624,23.25000,28.90002,547.22500,560.05850,2.55405,2.67067,-613.00000,699.99063,-579.81250,663.16481,0.30699,0.34863,47.62500,62.40810,808.32500,847.15017,2.35238,2.92138,4.06124,7.40504
Tm0.4Er1.1Y0.3Gd0.2Si2O7,9.30710,0.23522,0.28952,33.25912,53.23353,164.20000,234.00429,118.77273,127.95923,12.22091,16.40195,0.57000,0.63408,1.93476,2.81424,26.02727,32.38849,528.46364,558.82831,2.59916,2.80896,-527.79091,645.58859,-498.81818,611.62560,0.26526,0.31938,38.22727,57.66018,743.50909,809.84866,1.92991,2.64941,5.22903,8.45381
Tm0.4Er1.1Y0.3Gd0.2Si1O5,9.90727,0.27343,0.31346,42.22066,58.22432,137.02500,205.99197,118.43750,123.89348,10.52875,14.51906,0.54625,0.58968,2.36905,3.08442,23.28750,28.90221,549.88750,562.56345,2.55489,2.67131,-611.85000,698.42188,-578.87500,661.88269,0.30474,0.34478,47.93750,62.88129,808.20000,846.98761,2.32238,2.89651,4.06491,7.40353
Tm0.4Er1.1Y0.4Gd0.1Si2O7,9.24187,0.23487,0.28888,32.63781,52.42010,164.72727,234.00401,119.45455,128.74323,12.23364,16.39473,0.57018,0.63416,1.90359,2.78030,26.05455,32.38587,530.40000,560.74174,2.59977,2.80937,-526.95455,644.18010,-498.13636,610.47429,0.26363,0.31600,38.45455,58.09120,743.41818,809.71412,1.90809,2.62401,5.23170,8.45222
Tm0.4Er1.1Y0.4Gd0.1Si1O5,9.81758,0.27295,0.31273,41.36636,57.40923,137.75000,206.15291,119.37500,125.01796,10.54625,14.51132,0.54650,0.58982,2.32619,3.05128,23.32500,28.90432,552.55000,565.03691,2.55573,2.67195,-610.70000,696.84652,-577.93750,660.59591,0.30249,0.34086,48.25000,63.34843,808.07500,846.82499,2.29237,2.87091,4.06859,7.40202
Tm0.4Er1.2Y0.1Gd0.3Si2O7,9.15172,0.23547,0.29000,34.59273,54.96493,162.49091,234.17357,117.22727,126.21025,12.28545,16.38847,0.57000,0.63409,2.00770,2.89837,26.02727,32.39102,526.26364,556.58942,2.59756,2.80786,-529.47273,648.40693,-500.22727,613.99716,0.26625,0.32166,37.86364,56.94871,743.00000,809.12291,1.98473,2.71840,5.22711,8.45496
Tm0.4Er1.2Y0.1Gd0.3Si1O5,9.69363,0.27378,0.31399,44.05438,59.95142,134.67500,205.72542,116.31250,121.36038,10.61750,14.51567,0.54625,0.58969,2.46934,3.16747,23.28750,28.90610,546.86250,559.65541,2.55268,2.66964,-614.16250,701.57059,-580.81250,664.53108,0.30610,0.34744,47.43750,62.10615,807.50000,846.11321,2.39775,2.96709,4.06227,7.40464
Tm0.4Er1.2Y0.2Gd0.2Si2O7,9.19127,0.23513,0.28936,33.97142,54.20251,163.01818,234.17959,117.90909,127.01862,12.29818,16.38116,0.57018,0.63417,1.97653,2.86672,26.05455,32.38840,528.20000,558.52301,2.59817,2.80828,-528.63636,647.00813,-499.54545,612.85287,0.26462,0.31831,38.09091,57.38743,742.90909,808.98816,1.96291,2.69437,5.22978,8.45338
Tm0.4Er1.2Y0.2Gd0.2Si1O5,9.74801,0.27330,0.31328,43.20008,59.20314,135.40000,205.90001,117.25000,122.53453,10.63500,14.50775,0.54650,0.58983,2.42648,3.13744,23.32500,28.90821,549.52500,562.16494,2.55352,2.67028,-613.01250,700.00848,-579.87500,663.25389,0.30385,0.34357,47.75000,62.58313,807.37500,845.95026,2.36775,2.94335,4.06595,7.40313
Tm0.4Er1.2Y0.3Gd0.1Si2O7,9.15172,0.23478,0.28872,33.35011,53.41740,163.54545,234.18367,118.59091,127.81593,12.31091,16.37382,0.57036,0.63425,1.94535,2.83415,26.08182,32.38574,530.13636,560.43898,2.59878,2.80870,-527.80000,645.60453,-498.86364,611.70520,0.26298,0.31491,38.31818,57.82136,742.81818,808.85337,1.94109,2.66984,5.23245,8.45179
Tm0.4Er1.2Y0.3Gd0.1Si1O5,9.69363,0.27282,0.31255,42.34578,58.42499,136.12500,206.07031,118.18750,123.68599,10.65250,14.49979,0.54675,0.58997,2.38361,3.10616,23.36250,28.91024,552.18750,564.64292,2.55436,2.67092,-611.86250,698.43980,-578.93750,661.97208,0.30160,0.33963,48.06250,63.05399,807.25000,845.78724,2.33775,2.91892,4.06962,7.40162
Tm0.4Er1.3Y0.1Gd0.2Si2O7,9.02959,0.23504,0.28920,34.68372,55.13942,161.83636,234.34501,117.04545,126.06132,12.37545,16.35974,0.57036,0.63425,2.01829,2.91727,26.08182,32.38827,527.93636,558.21734,2.59717,2.80760,-529.48182,648.42276,-500.27273,614.07629,0.26397,0.31723,37.95455,57.11284,742.30909,808.12602,1.99591,2.73794,5.23054,8.45295
Tm0.4Er1.3Y0.1Gd0.2Si1O5,9.52569,0.27318,0.31310,44.17949,60.14013,133.77500,205.78716,116.06250,121.14142,10.74125,14.49516,0.54675,0.58997,2.48390,3.18791,23.36250,28.91413,549.16250,561.76577,2.55215,2.66924,-614.17500,701.58836,-580.87500,664.61982,0.30296,0.34235,47.56250,62.28263,806.55000,844.91033,2.41312,2.98834,4.06699,7.40273
Tm0.4Er1.3Y0.2Gd0.1Si2O7,9.02959,0.23469,0.28856,34.06241,54.38116,162.36364,234.35344,117.72727,126.87224,12.38818,16.35230,0.57055,0.63433,1.98712,2.88601,26.10909,32.38557,529.87273,560.13585,2.59778,2.80802,-528.64545,647.02401,-499.59091,612.93223,0.26234,0.31381,38.18182,57.54972,742.21818,807.99097,1.97409,2.71423,5.23321,8.45136
Tm0.4Er1.3Y0.2Gd0.1Si1O5,9.52569,0.27270,0.31237,43.32519,59.39715,134.50000,205.96685,117.00000,122.32079,10.75875,14.48699,0.54700,0.59011,2.44104,3.15839,23.40000,28.91609,551.82500,564.24828,2.55299,2.66989,-613.02500,700.02633,-579.93750,663.34295,0.30071,0.33838,47.87500,62.75727,806.42500,844.74691,2.38313,2.96503,4.07066,7.40121
Tm0.4Er1.4Y0.1Gd0.1Si2O7,8.86209,0.23460,0.28840,34.77471,55.31312,161.18182,234.51334,116.86364,125.91178,12.46545,16.33014,0.57073,0.63442,2.02888,2.93598,26.13636,32.38536,529.60909,559.83235,2.59679,2.80734,-529.49091,648.43859,-500.31818,614.15540,0.26169,0.31270,38.04545,57.27627,741.61818,807.12692,2.00709,2.75727,5.23396,8.45093
Tm0.4Er1.4Y0.1Gd0.1Si1O5,9.29538,0.27258,0.31219,44.30460,60.32782,132.87500,205.84249,115.81250,120.92123,10.86500,14.47290,0.54725,0.59025,2.49846,3.20811,23.43750,28.92185,551.46250,563.85299,2.55162,2.66885,-614.18750,701.60613,-580.93750,664.70854,0.29982,0.33713,47.68750,62.45822,805.60000,843.70399,2.42850,3.00931,4.07170,7.40081
Tm0.5Er0.1Y0.1Gd1.3Si2O7,8.94526,0.23972,0.29760,33.69805,53.20684,168.96364,232.32149,118.72727,127.48477,11.35727,16.62971,0.56645,0.63247,1.90410,2.70355,25.49091,32.41106,509.97273,540.12906,2.60211,2.81090,-529.83636,649.05752,-500.22727,614.01752,0.28972,0.36261,37.04545,55.45507,750.58182,819.91953,1.87255,2.50934,5.19387,8.47433
Tm0.5Er0.1Y0.1Gd1.3Si1O5,9.40974,0.27961,0.32253,42.82419,58.04211,143.57500,204.78759,118.37500,123.21814,9.34125,14.61759,0.54137,0.58691,2.32689,2.95477,22.55000,28.81160,524.46250,537.96431,2.55894,2.67427,-614.66250,702.30353,-580.81250,664.55694,0.33836,0.39346,46.31250,60.49636,817.92500,859.08946,2.24350,2.73691,4.01658,7.42297
Tm0.5Er0.1Y0.2Gd1.2Si2O7,9.10694,0.23937,0.29698,33.07674,52.40151,169.49091,232.30352,119.40909,128.27206,11.37000,16.62367,0.56664,0.63255,1.87293,2.66761,25.51818,32.40918,511.90909,542.21657,2.60272,2.81132,-529.00000,647.66090,-499.54545,612.87327,0.28808,0.35982,37.27273,55.91096,750.49091,819.78793,1.85073,2.48168,5.19655,8.47278
Tm0.5Er0.1Y0.2Gd1.2Si1O5,9.63206,0.27914,0.32184,41.96989,57.23905,144.30000,204.91182,119.31250,124.34949,9.35875,14.61221,0.54162,0.58705,2.28402,2.91916,22.58750,28.81528,527.12500,540.75381,2.55978,2.67491,-613.51250,700.74439,-579.87500,663.27980,0.33611,0.39034,46.62500,60.99531,817.80000,858.93143,2.21350,2.70838,4.02025,7.42150
Tm0.5Er0.1Y0.3Gd1.1Si2O7,9.22277,0.23903,0.29637,32.45543,51.57136,170.01818,232.28359,120.09091,129.04866,11.38273,16.61760,0.56682,0.63263,1.84175,2.63058,25.54545,32.40726,513.84545,544.28480,2.60333,2.81173,-528.16364,646.25948,-498.86364,611.72564,0.28645,0.35699,37.50000,56.36166,750.40000,819.65629,1.82891,2.45339,5.19922,8.47121
Tm0.5Er0.1Y0.3Gd1.1Si1O5,9.79132,0.27866,0.32115,41.11559,56.40355,145.02500,205.03181,120.25000,125.45925,9.37625,14.60679,0.54188,0.58719,2.24116,2.88207,22.62500,28.81888,529.78750,543.50779,2.56062,2.67554,-612.36250,699.17870,-578.93750,661.99805,0.33386,0.38719,46.93750,61.48762,817.67500,858.77335,2.18350,2.67901,4.02392,7.42003
Tm0.5Er0.1Y0.4Gd1.0Si2O7,9.30603,0.23868,0.29575,31.83412,50.71517,170.54545,232.26170,120.77273,129.81475,11.39545,16.61152,0.56700,0.63271,1.81058,2.59240,25.57273,32.40530,515.78182,546.33397,2.60394,2.81215,-527.32727,644.85325,-498.18182,610.57460,0.28481,0.35412,37.72727,56.80729,750.30909,819.52461,1.80709,2.42445,5.20189,8.46965
Tm0.5Er0.1Y0.4Gd1.0Si1O5,9.90581,0.27819,0.32046,40.26129,55.53413,145.75000,205.14757,121.18750,126.54800,9.39375,14.60134,0.54212,0.58733,2.19830,2.84345,22.66250,28.82240,532.45000,546.22680,2.56146,2.67618,-611.21250,697.60641,-578.00000,660.71164,0.33161,0.38398,47.25000,61.97347,817.55000,858.61521,2.15350,2.64876,4.02760,7.41855
Tm0.5Er0.1Y0.5Gd0.9Si2O7,9.36263,0.23834,0.29514,31.21281,49.83160,171.07273,232.23785,121.45455,130.57052,11.40818,16.60543,0.56718,0.63279,1.77941,2.55303,25.60000,32.40331,517.71818,548.36430,2.60455,2.81257,-526.49091,643.44217,-497.50000,609.42014,0.28317,0.35122,37.95455,57.24798,750.21818,819.39289,1.78527,2.39484,5.20456,8.46809
Tm0.5Er0.1Y0.5Gd0.9Si1O5,9.98363,0.27771,0.31977,39.40699,54.62918,146.47500,205.25909,122.12500,127.61627,9.41125,14.59585,0.54238,0.58747,2.15544,2.80324,22.70000,28.82583,535.11250,548.91136,2.56229,2.67681,-610.06250,696.02749,-577.06250,659.42056,0.32936,0.38073,47.56250,62.45299,817.42500,858.45700,2.12350,2.61760,4.03128,7.41706
Tm0.5Er0.1Y0.6Gd0.8Si2O7,9.39559,0.23799,0.29452,30.59150,48.91917,171.60000,232.21203,122.13636,131.31615,11.42091,16.59931,0.56736,0.63287,1.74824,2.51241,25.62727,32.40128,519.65455,550.37598,2.60516,2.81299,-525.65455,642.02620,-496.81818,608.26224,0.28154,0.34828,38.18182,57.68384,750.12727,819.26114,1.76345,2.36452,5.20724,8.46652
Tm0.5Er0.1Y0.6Gd0.8Si1O5,10.02895,0.27724,0.31907,38.55269,53.68690,147.20000,205.36640,123.06250,128.66457,9.42875,14.59032,0.54262,0.58761,2.11258,2.76135,22.73750,28.82919,537.77500,551.56197,2.56314,2.67744,-608.91250,694.44188,-576.12500,658.12478,0.32711,0.37742,47.87500,62.92634,817.30000,858.29874,2.09350,2.58550,4.03495,7.41558
Tm0.5Er0.1Y0.7Gd0.7Si2O7,9.40643,0.23765,0.29389,29.97019,47.97623,172.12727,232.18426,122.81818,132.05181,11.43364,16.59318,0.56755,0.63295,1.71706,2.47048,25.65455,32.39921,521.59091,552.36924,2.60577,2.81340,-524.81818,640.60531,-496.13636,607.10088,0.27990,0.34531,38.40909,58.11497,750.03636,819.12935,1.74164,2.33348,5.20991,8.46495
Tm0.5Er0.1Y0.7Gd0.7Si1O5,10.04385,0.27676,0.31837,37.69839,52.70528,147.92500,205.46950,124.00000,129.69339,9.44625,14.58476,0.54288,0.58775,2.06971,2.71773,22.77500,28.83247,540.43750,554.17911,2.56398,2.67808,-607.76250,692.84954,-575.18750,656.82426,0.32486,0.37407,48.18750,63.39365,817.17500,858.14042,2.06350,2.55242,4.03862,7.41409
Tm0.5Er0.1Y0.8Gd0.6Si2O7,9.39559,0.23730,0.29327,29.34888,47.00094,172.65455,232.15452,123.50000,132.77767,11.44636,16.58702,0.56773,0.63304,1.68589,2.42717,25.68182,32.39710,523.52727,554.34426,2.60638,2.81382,-523.98182,639.17947,-495.45455,605.93604,0.27826,0.34229,38.63636,58.54149,749.94545,818.99752,1.71982,2.30168,5.21258,8.46338
Tm0.5Er0.1Y0.8Gd0.6Si1O5,10.02895,0.27629,0.31767,36.84409,51.68209,148.65000,205.56839,124.93750,130.70318,9.46375,14.57916,0.54313,0.58789,2.02685,2.67227,22.81250,28.83567,543.10000,556.76327,2.56482,2.67871,-606.61250,691.25042,-574.25000,655.51899,0.32261,0.37066,48.50000,63.85506,817.05000,857.98204,2.03350,2.51833,4.04230,7.41260
Tm0.5Er0.1Y0.9Gd0.5Si2O7,9.36263,0.23695,0.29264,28.72757,45.99125,173.18182,232.12282,124.18182,133.49388,11.45909,16.58085,0.56791,0.63312,1.65472,2.38240,25.70909,32.39496,525.46364,556.30123,2.60699,2.81424,-523.14545,637.74866,-494.77273,604.76769,0.27663,0.33924,38.86364,58.96349,749.85455,818.86565,1.69800,2.26909,5.21525,8.46181
Tm0.5Er0.1Y0.9Gd0.5Si1O5,9.98363,0.27581,0.31697,35.98979,50.61480,149.37500,205.66308,125.87500,131.69439,9.48125,14.57353,0.54337,0.58803,1.98399,2.62489,22.85000,28.83879,545.76250,559.31488,2.56566,2.67934,-605.46250,689.64448,-573.31250,654.20893,0.32036,0.36720,48.81250,64.31069,816.92500,857.82360,2.00350,2.48318,4.04598,7.41111
Tm0.5Er0.1Y1.0Gd0.4Si2O7,9.30603,0.23661,0.29202,28.10626,44.94484,173.70909,232.08915,124.86364,134.20060,11.47182,16.57466,0.56809,0.63320,1.62355,2.33610,25.73636,32.39278,527.40000,558.24036,2.60761,2.81465,-522.30909,636.31282,-494.09091,603.59583,0.27499,0.33614,39.09091,59.38106,749.76364,818.73375,1.67618,2.23568,5.21793,8.46024
Tm0.5Er0.1Y1.0Gd0.4Si1O5,9.90581,0.27534,0.31626,35.13549,49.50056,150.10000,205.75358,126.81250,132.66743,9.49875,14.56786,0.54362,0.58817,1.94113,2.57548,22.88750,28.84183,548.42500,561.83441,2.56649,2.67997,-604.31250,688.03167,-572.37500,652.89405,0.31811,0.36368,49.12500,64.76066,816.80000,857.66511,1.97350,2.44693,4.04965,7.40961
Tm0.5Er0.1Y1.1Gd0.3Si2O7,9.22277,0.23626,0.29139,27.48495,43.85908,174.23636,232.05352,125.54545,134.89797,11.48455,16.56846,0.56827,0.63328,1.59237,2.28817,25.76364,32.39056,529.33636,560.16182,2.60822,2.81507,-521.47273,634.87194,-493.40909,602.42042,0.27335,0.33300,39.31818,59.79431,749.67273,818.60180,1.65436,2.20140,5.22060,8.45866
Tm0.5Er0.1Y1.1Gd0.3Si1O5,9.79132,0.27486,0.31555,34.28119,48.33613,150.82500,205.83988,127.75000,133.62269,9.51625,14.56215,0.54388,0.58831,1.89826,2.52392,22.92500,28.84479,551.08750,564.32228,2.56734,2.68060,-603.16250,686.41194,-571.43750,651.57433,0.31586,0.36011,49.43750,65.20510,816.67500,857.50655,1.94350,2.40953,4.05332,7.40811
Tm0.5Er0.1Y1.2Gd0.2Si2O7,9.10694,0.23592,0.29075,26.86365,42.73096,174.76364,232.01593,126.22727,135.58616,11.49727,16.56223,0.56845,0.63336,1.56120,2.23850,25.79091,32.38830,531.27273,562.06580,2.60883,2.81548,-520.63636,633.42597,-492.72727,601.24144,0.27172,0.32983,39.54545,60.20331,749.58182,818.46982,1.63255,2.16623,5.22327,8.45709
Tm0.5Er0.1Y1.2Gd0.2Si1O5,9.63206,0.27439,0.31484,33.42689,47.11778,151.55000,205.92200,128.68750,134.56056,9.53375,14.55641,0.54412,0.58845,1.85540,2.47008,22.96250,28.84767,553.75000,566.77890,2.56818,2.68123,-602.01250,684.78524,-570.50000,650.24974,0.31361,0.35648,49.75000,65.64410,816.55000,857.34794,1.91350,2.37092,4.05700,7.40660
Tm0.5Er0.1Y1.3Gd0.1Si2O7,8.94526,0.23557,0.29012,26.24234,41.55705,175.29091,231.97636,126.90909,136.26528,11.51000,16.55599,0.56864,0.63344,1.53003,2.18698,25.81818,32.38601,533.20909,563.95247,2.60944,2.81590,-519.80000,631.97488,-492.04545,600.05889,0.27008,0.32660,39.77273,60.60816,749.49091,818.33780,1.61073,2.13011,5.22595,8.45551
Tm0.5Er0.1Y1.3Gd0.1Si1O5,9.40974,0.27391,0.31412,32.57259,45.84121,152.27500,205.99994,129.62500,135.48140,9.55125,14.55063,0.54438,0.58858,1.81254,2.41380,23.00000,28.85048,556.41250,569.20469,2.56902,2.68186,-600.86250,683.15151,-569.56250,648.92023,0.31136,0.35278,50.06250,66.07779,816.42500,857.18926,1.88350,2.33104,4.06068,7.40509
Tm0.5Er0.2Y0.1Gd1.2Si2O7,9.10694,0.23928,0.29683,33.78904,53.38958,168.30909,232.52411,118.54545,127.34083,11.44727,16.60963,0.56682,0.63264,1.91469,2.72446,25.54545,32.40978,511.64545,541.88874,2.60172,2.81064,-529.84545,649.07333,-500.27273,614.09664,0.28744,0.35893,37.13636,55.62580,749.89091,818.94624,1.88373,2.53131,5.19730,8.47235
Tm0.5Er0.2Y0.1Gd1.2Si1O5,9.63206,0.27901,0.32167,42.94930,58.24129,142.67500,204.91315,118.12500,123.00930,9.46500,14.61479,0.54188,0.58720,2.34145,2.97780,22.62500,28.82278,526.76250,540.31440,2.55840,2.67388,-614.67500,702.32127,-580.87500,664.64568,0.33522,0.38939,46.43750,60.68130,816.97500,857.92353,2.25887,2.76133,4.02129,7.42111
Tm0.5Er0.2Y0.2Gd1.1Si2O7,9.26232,0.23894,0.29622,33.16773,52.58880,168.83636,232.50859,119.22727,128.13059,11.46000,16.60346,0.56700,0.63272,1.88352,2.68900,25.57273,32.40783,513.58182,543.95975,2.60233,2.81106,-529.00909,647.67676,-499.59091,612.95262,0.28580,0.35609,37.36364,56.07970,749.80000,818.81436,1.86191,2.50405,5.19997,8.47079
Tm0.5Er0.2Y0.2Gd1.1Si1O5,9.84570,0.27854,0.32098,42.09500,57.44405,143.40000,205.04247,119.06250,124.14562,9.48250,14.60917,0.54212,0.58734,2.29859,2.94281,22.66250,28.82630,529.42500,543.07350,2.55924,2.67452,-613.52500,700.76220,-579.93750,663.36886,0.33298,0.38622,46.75000,61.17770,816.85000,857.76506,2.22888,2.73333,4.02496,7.41963
Tm0.5Er0.2Y0.3Gd1.0Si2O7,9.37127,0.23859,0.29560,32.54642,51.76344,169.36364,232.49111,119.90909,128.90962,11.47273,16.59728,0.56718,0.63280,1.85235,2.65247,25.60000,32.40584,515.51818,546.01167,2.60294,2.81148,-528.17273,646.27540,-498.90909,611.80522,0.28416,0.35321,37.59091,56.52845,749.70909,818.68243,1.84009,2.47618,5.20265,8.46923
Tm0.5Er0.2Y0.3Gd1.0Si1O5,9.99550,0.27806,0.32029,41.24070,56.61464,144.12500,205.16755,120.00000,125.26023,9.50000,14.60351,0.54238,0.58748,2.25572,2.90638,22.70000,28.82974,532.08750,545.79755,2.56008,2.67515,-612.37500,699.19658,-579.00000,662.08742,0.33072,0.38299,47.06250,61.66753,816.72500,857.60654,2.19888,2.70451,4.02864,7.41816
Tm0.5Er0.2Y0.4Gd0.9Si2O7,9.44696,0.23825,0.29498,31.92511,50.91230,169.89091,232.47166,120.59091,129.67809,11.48545,16.59108,0.56736,0.63288,1.82117,2.61482,25.62727,32.40380,517.45455,548.04471,2.60355,2.81190,-527.33636,644.86922,-498.22727,610.65442,0.28253,0.35030,37.81818,56.97219,749.61818,818.55047,1.81827,2.44767,5.20532,8.46766
Tm0.5Er0.2Y0.4Gd0.9Si1O5,10.09958,0.27759,0.31960,40.38640,55.75163,144.85000,205.28840,120.93750,126.35371,9.51750,14.59781,0.54262,0.58762,2.21286,2.86844,22.73750,28.83310,534.75000,548.48707,2.56092,2.67579,-611.22500,697.62437,-578.06250,660.80133,0.32848,0.37972,47.37500,62.15095,816.60000,857.44795,2.16888,2.67482,4.03231,7.41667
Tm0.5Er0.2Y0.5Gd0.8Si2O7,9.49514,0.23790,0.29436,31.30380,50.03406,170.41818,232.45026,121.27273,130.43621,11.49818,16.58486,0.56755,0.63296,1.79000,2.57600,25.65455,32.40174,519.39091,550.05909,2.60417,2.81231,-526.50000,643.45819,-497.54545,609.50020,0.28089,0.34734,38.04545,57.41102,749.52727,818.41848,1.79645,2.41851,5.20799,8.46610
