Compounds,delta_S,r,delta_r,mass,delta_mass,specific,delta_specific,vaporization,delta_vaporization,fusion,delta_fusion,electronegativity,delta_electronegativity,density_re,delta_density_re,modulus_re,delta_modulus_re,Tm_re,delta_Tm_re,energy,delta_energy,formation,delta_formation,enthalpy,delta_enthalpy,lambda,delta_lambda,modulus_reo,delta_modulus_reo,Tm_reo,delta_Tm_reo,density_reo,delta_density_reo,CFS,delta_CFS
Yb0.6Tm0.4Er0.7Y0.3Si2O7,9.56341,0.23315,0.28584,33.75670,54.27428,162.12727,234.70156,111.59091,125.82598,11.73545,16.58523,0.56309,0.63149,1.81980,2.61857,25.42727,32.48534,494.82182,540.70611,2.60637,2.81390,-522.57273,636.73009,-494.00000,603.44195,0.26185,0.31222,38.40909,57.98186,742.40000,808.23791,1.98118,2.75046,5.24652,8.44387
Yb0.6Tm0.4Er0.7Y0.3Si1O5,10.25970,0.27058,0.30932,42.90484,59.36586,134.17500,206.43689,108.56250,120.52120,9.86125,14.66514,0.53675,0.58508,2.21098,2.87354,22.46250,28.91100,503.63000,539.27175,2.56480,2.67882,-604.67500,688.49519,-572.25000,652.72172,0.30004,0.33648,48.18750,63.22583,806.67500,845.04328,2.39287,3.00850,4.08896,7.39426
Yb0.6Tm0.4Er0.8Y0.2Si2O7,9.47992,0.23305,0.28568,34.46900,55.21450,160.94545,234.85928,110.72727,124.78799,11.81273,16.56837,0.56327,0.63158,1.86156,2.67782,25.45455,32.48607,494.55818,540.36372,2.60538,2.81322,-523.41818,638.18065,-494.72727,604.69531,0.26120,0.31111,38.27273,57.71133,741.80000,807.37435,2.01418,2.79280,5.24727,8.44344
Yb0.6Tm0.4Er0.8Y0.2Si1O5,10.14491,0.27045,0.30914,43.88425,60.30811,132.55000,206.30865,107.37500,118.96371,9.96750,14.66180,0.53700,0.58523,2.26840,2.93541,22.50000,28.91874,503.26750,538.80544,2.56343,2.67780,-605.83750,690.12425,-573.25000,654.12859,0.29915,0.33522,48.00000,62.93052,805.85000,844.00112,2.43825,3.05192,4.09000,7.39385
Yb0.6Tm0.4Er0.9Y0.1Si2O7,9.34741,0.23296,0.28551,35.18130,56.12419,159.76364,235.00717,109.86364,123.73144,11.89000,16.55091,0.56345,0.63167,1.90333,2.73474,25.48182,32.48676,494.29455,540.02090,2.60438,2.81255,-524.26364,639.62609,-495.45455,605.94466,0.26055,0.30999,38.13636,57.43900,741.20000,806.50913,2.04718,2.83388,5.24803,8.44301
Yb0.6Tm0.4Er0.9Y0.1Si1O5,9.96271,0.27033,0.30895,44.86366,61.21040,130.92500,206.15952,106.18750,117.36604,10.07375,14.65721,0.53725,0.58538,2.32582,2.99422,22.53750,28.92640,502.90500,538.33834,2.56206,2.67678,-607.00000,691.74630,-574.25000,655.52996,0.29826,0.33394,47.81250,62.63290,805.02500,842.95636,2.48362,3.09365,4.09104,7.39345
Yb0.6Tm0.5Er0.1Y0.8Si2O7,9.39559,0.23348,0.28645,30.21043,49.08855,167.96364,233.79927,115.59091,130.56237,11.32091,16.66081,0.56227,0.63109,1.61329,2.28747,25.30000,32.48200,496.57636,542.98158,2.61205,2.81771,-518.80000,630.24544,-490.81818,597.95996,0.26572,0.31876,39.18182,59.47813,746.07273,813.49152,1.81582,2.51674,5.24378,8.44545
Yb0.6Tm0.5Er0.1Y0.8Si1O5,10.02895,0.27104,0.31001,38.02871,54.02020,142.20000,206.79830,114.06250,127.47559,9.29125,14.65455,0.53562,0.58439,1.92703,2.51751,22.28750,28.87468,506.04250,542.36535,2.57261,2.68460,-599.48750,681.20456,-567.87500,646.56398,0.30536,0.34388,49.25000,64.85242,811.72500,851.37081,2.16550,2.76222,4.08520,7.39575
Yb0.6Tm0.5Er0.2Y0.7Si2O7,9.51863,0.23339,0.28629,30.92273,50.20853,166.78182,234.00584,114.72727,129.60596,11.39818,16.64718,0.56245,0.63118,1.65505,2.36104,25.32727,32.48290,496.31273,542.64202,2.61105,2.81704,-519.64545,631.71915,-491.54545,599.23111,0.26507,0.31769,39.04545,59.21735,745.47273,812.63797,1.84882,2.56643,5.24454,8.44502
Yb0.6Tm0.5Er0.2Y0.7Si1O5,10.19813,0.27091,0.30982,39.00812,55.19480,140.57500,206.77279,112.87500,126.08829,9.39750,14.65793,0.53588,0.58455,1.98445,2.59813,22.32500,28.88280,505.68000,541.90433,2.57124,2.68359,-600.65000,682.86536,-568.87500,647.99518,0.30447,0.34266,49.06250,64.56956,810.90000,850.34436,2.21087,2.81541,4.08624,7.39535
Yb0.6Tm0.5Er0.3Y0.6Si2O7,9.59129,0.23330,0.28612,31.63503,51.28788,165.60000,234.20246,113.86364,128.63295,11.47545,16.63295,0.56264,0.63127,1.69682,2.43123,25.35455,32.48377,496.04909,542.30204,2.61006,2.81637,-520.49091,633.18758,-492.27273,600.49814,0.26443,0.31660,38.90909,58.95490,744.87273,811.78281,1.88182,2.61449,5.24529,8.44459
Yb0.6Tm0.5Er0.3Y0.6Si1O5,10.29803,0.27079,0.30964,39.98754,56.31724,138.95000,206.72653,111.68750,124.66717,9.50375,14.66005,0.53612,0.58470,2.04188,2.67432,22.36250,28.89083,505.31750,541.44252,2.56987,2.68258,-601.81250,684.51893,-569.87500,649.42073,0.30359,0.34144,48.87500,64.28457,810.07500,849.31537,2.25625,2.86645,4.08728,7.39494
Yb0.6Tm0.5Er0.4Y0.5Si2O7,9.62560,0.23321,0.28596,32.34733,52.32912,164.41818,234.38917,113.00000,127.64297,11.55273,16.61811,0.56282,0.63136,1.73858,2.49830,25.38182,32.48460,495.78545,541.96163,2.60906,2.81570,-521.33636,634.65077,-493.00000,601.76105,0.26378,0.31552,38.77273,58.69076,744.27273,810.92601,1.91482,2.66101,5.24605,8.44415
Yb0.6Tm0.5Er0.4Y0.5Si1O5,10.34522,0.27066,0.30946,40.96695,57.39060,137.32500,206.65950,110.50000,123.21107,9.61000,14.66092,0.53638,0.58485,2.09930,2.74644,22.40000,28.89879,504.95500,540.97993,2.56850,2.68156,-602.97500,686.16531,-570.87500,650.84066,0.30270,0.34021,48.68750,63.99742,809.25000,848.28383,2.30162,2.91544,4.08831,7.39453
Yb0.6Tm0.5Er0.5Y0.4Si2O7,9.62560,0.23312,0.28580,33.05963,53.33447,163.23636,234.56598,112.13636,126.63561,11.63000,16.60268,0.56300,0.63145,1.78035,2.56250,25.40909,32.48539,495.52182,541.62080,2.60807,2.81503,-522.18182,636.10876,-493.72727,603.01989,0.26314,0.31442,38.63636,58.42491,743.67273,810.06758,1.94782,2.70607,5.24680,8.44372
Yb0.6Tm0.5Er0.5Y0.4Si1O5,10.34522,0.27054,0.30927,41.94636,58.41756,135.70000,206.57167,109.31250,121.71874,9.71625,14.66054,0.53662,0.58501,2.15673,2.81482,22.43750,28.90666,504.59250,540.51654,2.56713,2.68054,-604.13750,687.80456,-571.87500,652.25501,0.30181,0.33898,48.50000,63.70807,808.42500,847.24973,2.34700,2.96250,4.08935,7.39413
Yb0.6Tm0.5Er0.6Y0.3Si2O7,9.59129,0.23303,0.28563,33.77193,54.30593,162.05455,234.73293,111.27273,125.61045,11.70727,16.58664,0.56318,0.63154,1.82211,2.62404,25.43636,32.48614,495.25818,541.27955,2.60707,2.81436,-523.02727,637.56158,-494.45455,604.27467,0.26249,0.31332,38.50000,58.15731,743.07273,809.20751,1.98082,2.74975,5.24755,8.44329
Yb0.6Tm0.5Er0.6Y0.3Si1O5,10.29803,0.27041,0.30909,42.92577,59.40054,134.07500,206.46302,108.12500,120.18881,9.82250,14.65891,0.53688,0.58516,2.21415,2.87972,22.47500,28.91446,504.23000,540.05236,2.56576,2.67953,-605.30000,689.43672,-572.87500,653.66381,0.30092,0.33773,48.31250,63.41651,807.60000,846.21306,2.39238,3.00771,4.09039,7.39372
