Compounds,crg,delta_S,r,delta_r,mass,delta_mass,specific,delta_specific,vaporization,delta_vaporization,fusion,delta_fusion,electronegativity,delta_electronegativity,density_re,delta_density_re,modulus_re,delta_modulus_re,Tm_re,delta_Tm_re,energy,delta_energy,formation,delta_formation,enthalpy,delta_enthalpy,lambda,delta_lambda,modulus_reo,delta_modulus_reo,Tm_reo,delta_Tm_reo,density_reo,delta_density_reo,CFS,delta_CFS
Sc0.6667Yb0.6667Y0.6667Si1O5,0.594,9.76833,0.25942,0.29526,29.08712,45.2368,173.66874,223.9852,116.37712,129.21354,9.20003,14.64808,0.54418,0.59081,1.46021,1.79448,23.25025,29.3682,500.58493,539.04413,2.60508,2.71055,-582.46198,656.58337,-547.01516,617.0878,0.31418,0.35747,52.37673,70.24487,817.81163,859.3328,1.83464,2.39778,4.21592,7.35804
Gd0.1Sc0.7Ho0.2Er0.5Tm0.5Si1O5,7.4,10.47908,0.25987,0.29613,34.54521,53.45551,165.9875,226.13194,116.575,121.55827,10.51875,14.43863,0.55788,0.59744,2.0202,2.84716,24.525,29.36839,554.975,567.74307,2.58876,2.69895,-600.425,683.454,-563.1875,641.81787,0.31756,0.36288,51.825,69.56113,819.8125,861.86125,2.04938,2.66445,4.21346,7.35979
Ho0.5Yb0.5Lu0.5Sc0.5Si1O5,5.53,10.36614,0.26094,0.29699,38.37925,57.58763,153.75,222.16694,117.25,129.78332,10.19375,14.63439,0.5475,0.59223,2.05319,2.82318,23.5,29.32096,520.30625,555.85698,2.53539,2.66495,-598.7375,680.79137,-563.5625,641.89305,0.31375,0.35675,52,69.7128,822.8125,865.72074,2.26,2.95487,4.19562,7.36302
Gd0.6667Sc0.6667Yb0.6667Si1O5,6.65,9.76833,0.26259,0.30052,34.78267,53.45308,168.83523,224.18544,110.12689,121.30636,9.08336,14.68114,0.54251,0.58989,1.74597,2.29501,23.00024,29.35183,482.83427,518.20928,2.59948,2.7065,-590.12894,668.11563,-553.2654,626.67127,0.32918,0.38053,50.29332,67.55114,818.64499,860.38474,2.03464,2.64119,4.19142,7.36894
Y0.5Yb0.5Er0.5Sc0.5Si1O5,0.26,10.36614,0.26269,0.29963,33.146,50.53335,162.9375,220.81789,116.3125,127.07465,9.7125,14.63876,0.545,0.59071,1.73456,2.33047,23.3125,29.25824,513.18125,545.80934,2.59024,2.69932,-590.05,667.79341,-555.125,629.00289,0.30869,0.3499,51.0625,68.2345,813.375,853.78381,1.99875,2.60904,4.17988,7.36918
Gd0.1Sc0.5Ho0.5Er0.4Tm0.5Si1O5,5.3,10.62616,0.26391,0.30153,37.51545,55.94222,155.9,221.45656,115,120.2461,10.5075,14.43419,0.5545,0.59523,2.16206,2.96526,24.05,29.23305,553.0125,565.65126,2.57418,2.68769,-604.6,689.07734,-568.5,648.87034,0.31745,0.36239,50.625,67.62343,818.95,860.6685,2.16025,2.77264,4.1696,7.37337
Yb0.4Ho0.4Er0.4Tm0.4Sc0.4Si1O5,0.19,10.82995,0.26405,0.30129,39.46682,57.89245,149.45,219.15824,108.775,117.96959,10.145,14.55628,0.5465,0.59123,2.12805,2.87119,23.35,29.19869,520.545,549.45644,2.57541,2.68826,-601.4625,684.46592,-566.25,645.32532,0.31095,0.3529,50.025,66.60151,814.675,855.34012,2.26525,2.90786,4.16355,7.37359
Lu2Si1O5,0.07,7.48473,0.26525,0.30166,47.25238,64.21589,127.25,206.46691,148.625,152.54873,11.775,14.51543,0.555,0.59492,2.7515,3.54788,24.5,29.16494,592.5,608.97483,2.37544,2.54892,-625.8625,718.17447,-594.5,684.02693,0.3025,0.3396,54.625,72.95411,836.625,882.84561,2.68625,3.3669,4.13675,7.37641
Lu1.932Dy0.068Si1O5,0.099,7.79314,0.26568,0.30231,47.14641,64.06383,127.3605,206.44209,147.4775,151.74235,11.68235,14.53144,0.55458,0.59468,2.74053,3.53322,24.4405,29.15528,590.3665,606.95202,2.3798,2.55203,-625.3015,717.39412,-593.82,683.08736,0.30344,0.34106,54.3275,72.56988,835.35,881.31847,2.67928,3.35726,4.13301,7.37788
Gd0.5Sc0.5Yb0.5Y0.5Si1O5,0.672,10.36614,0.26569,0.30444,32.52044,49.16677,167.4375,219.50096,117.5625,128.10311,9.09375,14.6527,0.5425,0.58928,1.66175,2.14419,22.9375,29.21435,501.68125,533.43985,2.59289,2.70121,-589.9875,667.69637,-554.8125,628.51299,0.32438,0.37333,50.4375,67.47431,818.125,859.64101,1.92187,2.46232,4.15631,7.37932
